No,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county
528,MzBelsIGFPAN,PL0014A,"Belsk Duży, IGF PAN",,1991-07-01,,background,nonurban,container,MAZOWIECKIE,Belsk Duży,Osiedle PAN 1,51.835242,20.791912,powiat grójecki
529,MzBialaKmiciMOB,PL0712A,"Biała, ul. Kmicica",,2019-01-01,,industrial,suburban,mobile,MAZOWIECKIE,Biała,ul. Andrzeja Kmicica 33,52.602534,19.6451,powiat płocki
530,MzCiechSienkWSSE,,Ciechanów-Sienkiewicza,MzCiechSienkWSSE,1979-07-01,2006-12-31,background,urban,in-house,MAZOWIECKIE,Ciechanów,ul. Sienkiewicza,52.88265,20.594756,powiat ciechanowski
531,MzCiechStrazacka,PL0127A,Ciechanów-Strażacka,MzCiechStrazacka,1992-07-01,2014-12-31,background,urban,in-house,MAZOWIECKIE,Ciechanów,ul. Strażacka 6,52.878436,20.613288,powiat ciechanowski
532,MzGostMajaWSSE,,Gostynin-Maja,MzGostMajaWSSE,1998-04-09,2007-12-31,background,urban,in-house,MAZOWIECKIE,Gostynin,ul. 3 Maja 17,52.425533,19.460439,powiat gostyniński
533,MzGranicaKPN,PL0128A,"Granica, KPN",,2003-08-01,,background,nonurban,container,MAZOWIECKIE,Granica,Kampinoski Park Narodowy,52.285858000000005,20.454653,powiat warszawski zachodni
534,MzGrodziskWSSE,,Grodzisk Maz-Kościuszki,MzGrodziskWSSE,2005-01-01,2007-12-31,background,urban,in-house,MAZOWIECKIE,Grodzisk Mazowiecki,ul. Kościuszki 32a,52.109081,20.625173999999998,powiat grodziski
535,MzGutyDuCzer,PL0649A,Guty Duże,,2016-01-01,,background,nonurban,container,MAZOWIECKIE,Guty Duże,Guty Duże 4,52.943172,21.288167,powiat makowski
536,MzKonJezMos,PL0673A,Konstancin-Jeziorna-Wierzejewskiego,MzKonJezMos,2017-01-01,,background,suburban,mobile,MAZOWIECKIE,Konstancin-Jeziorna,Wierzejewskiego 12,52.080625,21.111186,powiat piaseczyński
537,MzKonJezWieMOB,PL0673A,"Konstancin-Jeziorna, ul. Wierzejewskiego",,2017-01-01,,background,suburban,mobile,MAZOWIECKIE,Konstancin-Jeziorna,ul. Wierzejewskiego 12,52.080625,21.111186,powiat piaseczyński
538,MzKonJezZrodWSSE,,Konstancin Jeziorna - Źródlana,MzKonJezZrodWSSE,1989-06-15,2006-12-31,background,urban,in-house,MAZOWIECKIE,Konstancin-Jeziorna,ul. Źródlana 6/8,52.084540999999994,21.113746,powiat piaseczyński
539,MzKozienSwierWSSE,,Kozienice-Świerczewskiego,MzKozienSwierWSSE,1984-01-01,2003-12-31,background,urban,in-house,MAZOWIECKIE,Kozienice,ul. Świerczewskiego 27,51.58563,21.545647,powiat kozienicki
540,MzLegionBronWSSE,,Legionowo-Broniewskiego,MzLegionBronWSSE,1991-11-06,2009-12-31,background,urban,in-house,MAZOWIECKIE,Legionowo,ul. Broniewskiego 6,52.399685999999996,20.927147,powiat legionowski
541,MzLegZegrzyn,PL0129A,"Legionowo, ul. Zegrzyńska",,2003-08-01,,background,suburban,container,MAZOWIECKIE,Legionowo,ul. Zegrzyńska 38,52.407578,20.955928,powiat legionowski
542,MzMakMMickWSSE,,Maków-Mazowiecki-Mickiewicza,MzMakMMickWSSE,1985-01-01,2006-12-31,background,urban,in-house,MAZOWIECKIE,Maków Mazowiecki,ul. Mickiewicza 31,52.864686999999996,21.094026,powiat makowski
543,MzMinMazKaziMOB,PL0753A,Mińsk Mazowiecki-Kazikowskiego,MzMinMazKaziMOB,2019-01-01,2020-12-31,background,urban,mobile,MAZOWIECKIE,Mińsk Mazowiecki,Zygmunta Kazikowskiego 18,52.178765999999996,21.560968,powiat miński
544,MzMinskKilinWSSE,PL0394A,Mińsk-Kilińskiego,MzMinskKilinWSSE,2004-01-01,2009-12-31,background,urban,in-house,MAZOWIECKIE,Mińsk Mazowiecki,ul. Kilińskiego 10,52.179811,21.56651,powiat miński
545,MzMinskKoscWSSE,,Mińsk-Kościuszki,MzMinskKoscWSSE,1992-01-01,2003-12-31,background,urban,in-house,MAZOWIECKIE,Mińsk Mazowiecki,ul. Kościuszki 9,52.18047,21.558657999999998,powiat miński
546,MzMlawaMajaWSSE,,Mława-Maja,MzMlawaMajaWSSE,1980-01-01,2006-12-31,background,urban,in-house,MAZOWIECKIE,Mława,ul. 1 Maja 6,53.112359,20.381051,powiat mławski
547,MzMlawOrdona,PL0516A,Mława-Ordona,MzMlawaOrdona,2006-01-01,2018-01-01,background,urban,dust collector,MAZOWIECKIE,Mława,ul. Ordona 14,53.11190799999999,20.371725,powiat mławski
548,MzNowDwChemWSSE,PL0130A,Nowy Dwór-Chemików,MzNowDwChemWSSE,2004-01-01,2009-12-31,background,urban,in-house,MAZOWIECKIE,Nowy Dwór Mazowiecki,ul. Chemików,52.429424,20.724131,powiat nowodworski
549,MzOstMazSikorWSSE,PL0395A,Ostrów Mazowiecka-Sikorskiego,MzOstMazSikorWSSE,1980-01-01,2009-12-31,background,urban,in-house,MAZOWIECKIE,Ostrów Mazowiecka,ul. Generała Sikorskiego 3,52.803259,21.890476,powiat ostrowski
550,MzOstroHalle,PL0620A,"Ostrołęka, ul. Hallera",,2015-01-01,,background,urban,dust collector,MAZOWIECKIE,Ostrołęka,ul. gen. J. Hallera 12,53.083736,21.579322,
551,MzOstrolKoscWSSE,,Ostrołęka-Kościuszki,MzOstrolKoscWSSE,1982-01-01,2006-12-31,background,urban,in-house,MAZOWIECKIE,Ostrołęka,ul. Kościuszki 19,53.08531899999999,21.568983,
552,MzOstrolTargowa,PL0131A,Ostrołęka-Targowa,MzOstrolTargowa,1994-01-03,2014-12-31,background,urban,dust collector,MAZOWIECKIE,Ostrołęka,ul. Targowa 4,53.084022999999995,21.589205,
553,MzOtwoBrzozo,PL0539A,"Otwock, ul. Brzozowa",,2010-05-11,,background,suburban,container,MAZOWIECKIE,Otwock,ul. Brzozowa 2,52.115725,21.237297,powiat otwocki
554,MzOtwockBrzozWSSE,PL0132A,Otwock-BrzozowaWSSE,MzOtwockBrzozWSSE,1980-01-02,2009-12-31,background,urban,in-house,MAZOWIECKIE,Otwock,ul. Brzozowa 2,52.115444000000004,21.237658,powiat otwocki
555,MzPiaseczDworWSSE,PL0133A,Piaseczno-Dworska,MzPiaseczDworWSSE,1981-10-01,2009-12-31,background,urban,in-house,MAZOWIECKIE,Piaseczno,ul. Dworska,52.051445,21.005582,powiat piaseczyński
556,MzPiasPulask,PL0134A,"Piastów, ul. Pułaskiego",,2003-08-01,,background,suburban,container,MAZOWIECKIE,Piastów,ul. Pułaskiego 6/8,52.191728000000005,20.837489,powiat pruszkowski
557,MzPiastWarszWSSE,,Piastów-Warszawska,MzPiastWarszWSSE,1994-01-04,2003-12-31,industrial,urban,in-house,MAZOWIECKIE,Piastów,ul. Warszawska 24,52.186581,20.843524,powiat pruszkowski
558,MzPionkiSienWSSE,,Pionki-Sienkiewicza,MzPionkiSienWSSE,1995-01-09,2003-12-31,background,urban,in-house,MAZOWIECKIE,Pionki,ul. Sienkiewicza 11,51.478028,21.451383,powiat radomski
559,MzPlockJasnaWSSE,,Płock-Jasna,MzPlockJasnaWSSE,1986-04-14,2006-12-31,background,urban,in-house,MAZOWIECKIE,Płock,ul. Jasna 8,52.554005000000004,19.667701,
560,MzPlockKolegWSSE,PL0135A,Płock-Kolegialna,MzPlockKolegWSSE,2004-02-27,2009-12-31,background,urban,in-house,MAZOWIECKIE,Płock,ul. Kolegialna 20,52.542221999999995,19.695556,
561,MzPlockKolodWSSE,,Płock-Piasta Kołodzieja,MzPlockKolodWSSE,1990-01-02,2003-12-31,background,urban,in-house,MAZOWIECKIE,Płock,ul. Piasta Kołodzieja 4,52.550865,19.690579999999997,
562,MzPlockLaczWSSE,,Płock-Łączniczek,MzPlockLaczWSSE,1991-01-10,2003-12-31,background,urban,in-house,MAZOWIECKIE,Płock,ul. Łączniczek 14,52.539936,19.751334,
563,MzPlockOpsis,,Płock-Opsis,MzPlockOpsis,1995-02-27,2006-12-31,communication,urban,in-house,MAZOWIECKIE,Płock,ul. Jachowicza 44,52.549779,19.691923000000003,
564,MzPlockPiaskaWSSE,,Płock-Piaska,MzPlockPiaskaWSSE,1987-01-05,2006-12-31,background,urban,in-house,MAZOWIECKIE,Płock,ul. Piaska 5,52.544338,19.724452,
565,MzPlockPKN1,PL0396A,Płock-Trzepowo,MzPlockPKN1,1996-12-01,2009-12-31,industrial,urban,container,MAZOWIECKIE,Trzepowo,ul. Trzepowo 56,52.5888,19.724289000000002,powiat płocki
566,MzPlockPKN2,PL0397A,Płock-Maszewo,MzPlockPKN2,1994-10-01,2009-12-31,background,nonurban,container,MAZOWIECKIE,Maszewo Duże,ul. Maszewo Duże 154,52.584167,19.6114,powiat płocki
567,MzPlockPKN3,,Płock-Chełpowo,MzPlockPKN3,1993-01-01,2005-12-31,industrial,urban,container,MAZOWIECKIE,Chełpowo,ul. Długa,52.5675,19.6875,
568,MzPlocKroJad,PL0398A,"Płock, ul. Królowej Jadwigi",,1993-01-01,,industrial,urban,container,MAZOWIECKIE,Płock,ul. Królowej Jadwigi 4,52.556279,19.687672,
569,MzPlocMiReja,PL0136A,"Płock, ul. Reja",,2003-08-01,,background,urban,container,MAZOWIECKIE,Płock,ul. Mikołaja Reja 28,52.550938,19.709791,
570,MzPlonskSienWSSE,,Płońsk-Sienkiewicza,MzPlonskSienWSSE,1987-01-01,2003-12-31,background,urban,in-house,MAZOWIECKIE,Płońsk,ul. Sienkiewicza 7a,52.629778,20.37556,powiat płoński
571,MzPruszKraszeWSSE,PL0399A,Pruszków-Kraszewskiego,MzPruszKraszeWSSE,2004-01-01,2009-12-31,background,urban,in-house,MAZOWIECKIE,Pruszków,ul. Kraszewskiego 14,52.162262,20.812831,powiat pruszkowski
572,MzPruszMajWSSE,,Pruszków-Majowa,MzPruszMajWSSE,1980-10-01,2003-12-31,background,urban,in-house,MAZOWIECKIE,Pruszków,ul. Majowa 14,52.17154,20.810253,powiat pruszkowski
573,MzPultusKoscWSSE,,Pułtusk-Kościuszki,MzPultusKoscWSSE,1987-01-01,2003-12-31,background,urban,in-house,MAZOWIECKIE,Pułtusk,ul. Kościuszki 16,52.70964300000001,21.083911999999998,powiat pułtuski
574,MzPultusMajaWSSE,,Pułtusk-Maja,MzPultusMajaWSSE,2004-01-01,2006-12-31,background,urban,in-house,MAZOWIECKIE,Pułtusk,ul. 3 Maja 20,52.707685,21.084498,powiat pułtuski
575,MzRad25Czerw,PL0137A,"Radom, ul. 25 Czerwca",,2010-07-01,,background,urban,dust collector,MAZOWIECKIE,Radom,ul. 25 Czerwca 1976 70,51.406079999999996,21.166819,
576,MzRadHallera,PL0493A,"Radom, ul. Hallera",,2010-06-23,,background,urban,dust collector,MAZOWIECKIE,Radom,ul. Hallera,51.415324,21.171285,
577,MzRadomAlekWSSE,,Radom-Józefów,MzRadomAlekWSSE,1987-11-06,2006-12-31,background,urban,in-house,MAZOWIECKIE,Radom,ul. Aleksandrowicza 5,51.437739,21.161865,
578,MzRadomCzWSSE,,Radom-CzerwcaWSSE,MzRadomCzWSSE,2004-01-01,2009-12-31,background,urban,container,MAZOWIECKIE,Radom,ul. 25 Czerwca,51.400128,21.162633,
579,MzRadomLubonWSSE,,Radom-Lubońskiego,MzRadomLubonWSSE,1992-01-22,2003-12-31,background,urban,in-house,MAZOWIECKIE,Radom,ul. Lubońskiego 2,51.390409000000005,21.170235,
580,MzRadomPulask,,Radom-Pułaskiego,MzRadomPulask,1996-04-22,2006-12-31,background,urban,in-house,MAZOWIECKIE,Radom,ul. Pułaskiego 9,51.42521,21.158278,
581,MzRadTochter,PL0138A,"Radom, ul. Tochtermana",,2003-08-01,,background,urban,container,MAZOWIECKIE,Radom,ul. Tochtermana 1,51.399084,21.147474,
582,MzSiedChrobWSSE,,Siedlce-Chrobrego,MzSiedChrobWSSE,1994-01-01,2003-12-31,background,urban,in-house,MAZOWIECKIE,Siedlce,ul. Chrobrego 19,52.18308,22.27501,
583,MzSiedKonars,PL0538A,"Siedlce, ul. Konarskiego",,2012-01-01,,background,urban,container,MAZOWIECKIE,Siedlce,ul. Konarskiego 11,52.172145,22.282001,
584,MzSiedPodlasWSSE,,Siedlce-Podlaska,MzSiedPodlasWSSE,1990-01-01,2004-12-31,background,urban,in-house,MAZOWIECKIE,Siedlce,ul. Podlaska 8,52.160795,22.255203,
585,MzSiedPoniatWSSE,,Siedlce-Poniatowskiego,MzSiedPoniatWSSE,2008-01-01,2009-12-31,background,urban,in-house,MAZOWIECKIE,Siedlce,ul. Poniatowskiego 31,52.176297999999996,22.288741,
586,MzSiedSienkWSSE,,Siedlce-Sienkiewicza,MzSiedSienkWSSE,1994-01-03,2004-12-31,background,urban,in-house,MAZOWIECKIE,Siedlce,ul. Sienkiewicza 32,52.165962,22.278046,
587,MzSiedStarowWSSE,,Siedlce-Starowiejska,MzSiedStarowWSSE,1998-01-01,2003-12-31,background,urban,in-house,MAZOWIECKIE,Siedlce,ul. Starowiejska 66,52.166475,22.292956,
588,MzSiedWoszczWSSE,,Siedlce-Woszczerowicza,MzSiedWoszczWSSE,2005-01-01,2007-12-31,background,urban,in-house,MAZOWIECKIE,Siedlce,ul. Woszczerowicza 9,52.164444,22.279722,
589,MzSierpcPiastWSSE,,Sierpc-Piastowska,MzSierpcPiastWSSE,1987-02-03,2006-12-31,background,urban,in-house,MAZOWIECKIE,Sierpc,ul. Piastowska 24,52.853175,19.666716,powiat sierpecki
590,MzSierWiosnyMOB,PL0785A,"Sierpc, ul. Wiosny Ludów",,2021-01-09,,background,urban,mobile,MAZOWIECKIE,Sierpc,ul. Wiosny Ludów 7,52.851783,19.662060999999998,powiat sierpecki
591,MzSochPlocWSSE,PL0400A,Sochaczew-Płocka,MzSochPlocWSSE,2004-01-01,2009-12-31,background,urban,in-house,MAZOWIECKIE,Sochaczew,ul. Płocka,52.231792999999996,20.219171,powiat sochaczewski
592,MzSochSierpWSSE,,Sochaczew-Sierpnia,MzSochSierpWSSE,2004-01-01,2005-12-31,background,urban,in-house,MAZOWIECKIE,Sochaczew,ul. 15 Sierpnia 4,52.221771999999994,20.234648999999997,powiat sochaczewski
593,MzSokPodSierpWSSE,,Sokołów Podlaski-Sierpnia,MzSokPodSierpWSSE,1994-01-01,2003-12-31,background,urban,in-house,MAZOWIECKIE,Sokołów Podlaski,ul. 1 Sierpnia 1d,52.405721,22.234814,powiat sokołowski
594,MzTluszczJKiel,PL0139A,Tłuszcz-Kielaka,MzTluszczJKiel,2003-08-01,2010-12-31,background,suburban,container,MAZOWIECKIE,Tłuszcz,ul. Jana Kielaka 1,52.425833000000004,21.429167,powiat wołomiński
595,MzWarAKrzywo,PL0214A,"Warszawa, ul. Krzywoń",,2011-01-01,,background,urban,dust collector,MAZOWIECKIE,Warszawa,ul. Anieli Krzywoń,52.228649,20.917513,
596,MzWarAKrzywWSSE,,Warszawa-Anieli KrzywońWSSE,MzWarAKrzywWSSE,2004-01-01,2009-12-31,background,urban,container,MAZOWIECKIE,Warszawa,ul. Anieli Krzywoń,52.228649,20.917513,
597,MzWarAlNiepo,PL0140A,"Warszawa, al. Niepodległości",,2003-08-01,,communication,urban,container,MAZOWIECKIE,Warszawa,al. Niepodległości 227/233,52.219297999999995,21.004724,
598,MzWarBajkowa,PL0717A,"Warszawa, ul. Bajkowa",,2019-01-01,,background,urban,container,MAZOWIECKIE,Warszawa,ul. Bajkowa 17/21,52.188474,21.176233,
599,MzWarChrosci,PL0739A,"Warszawa, ul. Chrościckiego",,2019-01-01,,background,urban,container,MAZOWIECKIE,Warszawa,ul. Chrościckiego 16/18,52.207741999999996,20.906073000000003,
600,MzWarKondrat,PL0143A,"Warszawa, ul. Kondratowicza",,2003-08-01,,background,urban,container,MAZOWIECKIE,Warszawa,ul. Kondratowicza 8,52.290864,21.042458,
601,MzWarMarszal,PL0592A,Warszawa-Marszałkowska,MzWarszMarsz,2013-01-01,2017-12-31,communication,urban,container,MAZOWIECKIE,Warszawa,ul. Marszałkowska 68,52.225157,21.014803,
602,MzWarMeteo,PL0787A,"Warszawa, IMiGW",,2021-01-01,,background,urban,container,MAZOWIECKIE,Warszawa,ul. Podleśna 61,52.281471999999994,20.963361,
603,MzWarPodlesn,PL0044A,Warszawa-Podleśna,MzWarPodIMGW,2003-09-30,2020-12-31,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Podleśna 61,52.280939000000004,20.962156,
604,MzWarPorajow,PL0034A,Warszawa-Porajów,MzWarszPorajow,1991-01-01,2016-01-04,industrial,urban,container,MAZOWIECKIE,Warszawa,ul. Porajów 3,52.314516,20.958614,
605,MzWarPuszSol,PL0033A,Warszawa-Puszczy Solskiej,MzWarszPuszSolska,1998-08-22,2016-01-04,industrial,urban,container,MAZOWIECKIE,Warszawa,ul. Puszczy Solskiej 5,52.226408,20.908633,
606,MzWarszAlJerozol,,Warszawa-Aleje Jerozolimskie,MzWarszAlJerozol,1993-01-01,2004-12-31,background,urban,in-house,MAZOWIECKIE,Warszawa,al. Jerozolimskie 30,52.231631,21.0189,
607,MzWarszArmLudWSSE,,Warszawa-Armii Ludowej,MzWarszArmLudWSSE,1989-10-01,2003-12-31,communication,urban,in-house,MAZOWIECKIE,Warszawa,ul. Armii Ludowej 16,52.217723,21.011722,
608,MzWarszBednarWSSE,,Warszawa-Bednarska,MzWarszBednarWSSE,1976-09-01,2006-12-31,communication,urban,in-house,MAZOWIECKIE,Warszawa,ul. Bednarska 2/4,52.245977,21.020429,
609,MzWarszBernWoda,PL0215A,Warszawa-Bernardyńska,MzWarszBernWoda,1996-04-26,2013-12-31,industrial,urban,container,MAZOWIECKIE,Warszawa,ul. Przy Bernardyńskiej Wodzie 7,52.191733,21.051053,
610,MzWarszBialobWSSE,,Warszawa-Białobrzeska,MzWarszBialobWSSE,1994-01-01,2006-12-31,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Białobrzeska 26,52.213226,20.973755,
611,MzWarszBorKomWSSE,PL0309A,Warszawa-Bora Komorowskiego,MzWarszBorKomWSSE,1995-03-14,2008-12-31,background,urban,container,MAZOWIECKIE,Warszawa,ul. Bora Komorowskiego 31,52.225194,21.087355,
612,MzWarszHertzaWSSE,,Warszawa-Hertza,MzWarszHertzaWSSE,1980-01-02,2003-12-31,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Hertza 8,52.224538,21.152749,
613,MzWarszKochanWSSE,,Warszawa-Kochanowskiego,MzWarszKochanWSSE,1980-01-02,2003-12-31,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Kochanowskiego 21,52.267161,20.94953,
614,MzWarszKrucza,PL0010A,Warszawa-Krucza,MzWarszKrucza,1990-01-01,2013-12-31,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Krucza 5/11,52.224583,21.019039000000003,
615,MzWarszLazurowa,,Warszawa - Lazurowa,MzWarszLazurowa,1991-11-01,2008-12-31,industrial,urban,container,MAZOWIECKIE,Warszawa,ul. Lazurowa,52.220278,20.8975,
616,MzWarszOskLanWSSE,,Warszawa-Oskara Lange,MzWarszOskLanWSSE,1996-01-01,2003-12-31,background,urban,container,MAZOWIECKIE,Warszawa,ul. Oskara Lange,52.181540000000005,21.008873,
617,MzWarszSGGW,PL0274A,Warszawa-Nowoursynowska,MzWarszSGGW,2001-02-01,2012-12-31,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Nowoursynowska 166,52.160556,21.047778,
618,MzWarszSuwalWSSE,,Warszawa-Suwalska,MzWarszSuwalWSSE,1995-04-03,2003-12-31,background,urban,container,MAZOWIECKIE,Warszawa,ul. Suwalska 14,52.295469,21.029065,
619,MzWarszZelazWSSE,PL0142A,Warszawa-Żelazna,MzWarszZelazWSSE,1976-09-01,2009-12-31,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Żelazna 79,52.237499,20.98793,
620,MzWarTolstoj,PL0308A,"Warszawa, ul. Tołstoja",,2000-05-15,,background,urban,container,MAZOWIECKIE,Warszawa,ul. Tołstoja 2,52.285073,20.933018,
621,MzWarWokalna,PL0141A,"Warszawa, ul. Wokalna",,2003-08-01,,background,urban,container,MAZOWIECKIE,Warszawa,ul. Wokalna 1,52.160771999999994,21.033819,
622,MzWarZeganWSSE,PL0216A,Warszawa-Żegańska,MzWarZeganWSSE,2004-01-01,2009-12-31,background,urban,container,MAZOWIECKIE,Warszawa,ul. Żegańska,52.205769000000004,21.169522,
623,MzWolOgrodowa,PL0404A,Wołomin-Ogrodowa,MzWolOgrodowa,2010-09-20,2013-04-23,background,urban,in-house,MAZOWIECKIE,Wołomin,ul. Ogrodowa 4,52.344675,21.239511,powiat wołomiński
624,MzWolomLegionWSSE,,Wołomin-Legionów,MzWolomLegionWSSE,2000-01-03,2006-12-31,background,urban,in-house,MAZOWIECKIE,Wołomin,ul. Legionów 78,52.338759,21.241823999999998,powiat wołomiński
625,MzWyszDaszynWSSE,,Wyszków-Daszyńskiego,MzWyszDaszynWSSE,1982-01-01,2006-12-31,background,urban,in-house,MAZOWIECKIE,Wyszków,ul. Daszyńskiego 28,52.593993000000005,21.458079,powiat wyszkowski
626,MzZwolenWSSE,,Zwoleń-Kościuszki,MzZwolenWSSE,2004-01-01,2006-12-31,background,urban,in-house,MAZOWIECKIE,Zwoleń,ul. Kościuszki 11,51.35581,21.578566,powiat zwoleński
627,MzZyrardMoniuszWSSE,,Żyrardów-Moniuszki,MzZyrardMoniuszWSSE,1988-05-30,2006-12-31,background,urban,in-house,MAZOWIECKIE,Żyrardów,ul. Moniuszki 40,52.057147,20.450546,powiat żyrardowski
628,MzZyraRoosev,PL0144A,"Żyrardów, ul. Roosevelta",,2003-08-01,,background,urban,container,MAZOWIECKIE,Żyrardów,ul. Roosevelta 2,52.053810999999996,20.429892000000002,powiat żyrardowski
629,OpBrzeg101,PL0405A,Brzeg manualna 101,OpBrzeg101,1978-12-13,2009-12-31,background,urban,in-house,OPOLSKIE,Brzeg,ul. Armii Krajowej 22,50.8575,17.463611,powiat brzeski
630,OpBrzegPoprz,PL0788A,"Brzeg, ul. Poprzeczna",,2021-01-11,,background,urban,mobile,OPOLSKIE,Brzeg,Poprzeczna 1,50.849509000000005,17.462579,powiat brzeski
631,OpGlubKochan,PL0217A,Głubczyce manualna 1,OpGlub1pyl,2005-01-01,2016-01-01,background,urban,dust collector,OPOLSKIE,Głubczyce,ul. Kochanowskiego 23,50.200942,17.816453,powiat głubczycki
632,OpGlubRatusz,PL0650A,"Głubczyce, ul. Ratuszowa",,2016-01-01,,background,urban,dust collector,OPOLSKIE,Głubczyce,ul. Ratuszowa 9,50.200778,17.83051,powiat głubczycki
633,OpGora12728,,Góra Św. Anny lokalna 12728,OpGora12728,1991-12-31,2006-06-30,NO DATA,nonurban,container,OPOLSKIE,Góra Św. Anny,ul. Leśnicka,50.451667,18.163332999999998,powiat strzelecki
634,OpJanusz12394,,Januszkowice lokalna 12394,OpJanusz12394,1990-11-27,2006-06-30,NO DATA,nonurban,container,OPOLSKIE,Januszkowice,ul. Piękna,50.395833,18.138333,powiat krapkowicki
635,OpKKozBSmial,PL0218A,"Kędzierzyn-Koźle, ul. Śmiałego",,2005-01-01,,background,urban,container,OPOLSKIE,Kędzierzyn-Koźle,ul. Bolesława Śmiałego 5,50.349608,18.236575,powiat kędzierzyńsko-kozielski
636,OpKkozle243,,K-Koźle manualna 243,OpKkozle243,2001-10-10,2004-12-31,background,urban,in-house,OPOLSKIE,Kędzierzyn-Koźle,ul. Chrobrego 28,50.338333,18.134167,powiat kędzierzyńsko-kozielski
637,OpKkozle61,,K-Koźle manualna 61,OpKkozle61,1980-01-10,2005-12-31,background,urban,in-house,OPOLSKIE,Kędzierzyn-Koźle,ul. Anny 14,50.334444,18.147222,powiat kędzierzyńsko-kozielski
638,OpKkozleSP10,,K-Koźle BASKI-SP10,OpKkozleSP10,2004-01-01,2004-12-31,industrial,urban,container,OPOLSKIE,Kędzierzyn-Koźle,ul. Książąt Opolskich,50.369444,18.327778,powiat kędzierzyńsko-kozielski
639,OpKkozleSP3,,K-Koźle BASKI-SP3,OpKkozleSP3,2004-01-01,2004-12-31,industrial,urban,container,OPOLSKIE,Kędzierzyn-Koźle,ul. Przodowników Pracy,50.323611,18.251389,powiat kędzierzyńsko-kozielski
640,OpKkozleSP7,,K-Koźle BASKI-SP7,OpKkozleSP7,2004-01-01,2004-12-31,background,urban,container,OPOLSKIE,Kędzierzyn-Koźle,ul. Gagarina,50.344444,18.227778,powiat kędzierzyńsko-kozielski
641,OpKlucz227,PL0145A,Kluczbork manualna 227,OpKlucz227,2004-01-01,2009-12-31,background,urban,in-house,OPOLSKIE,Kluczbork,ul. Rynek_ratusz,50.973056,18.214167,powiat kluczborski
642,OpKlucz235,PL0406A,Kluczbork manualna 235,OpKlucz235,2002-07-15,2009-12-31,background,urban,in-house,OPOLSKIE,Kluczbork,ul. Jagiellońska 3,50.974444,18.217508,powiat kluczborski
643,OpKluczMicki,PL0517A,"Kluczbork, ul. Mickiewicza",,2010-08-06,,background,urban,dust collector,OPOLSKIE,Kluczbork,ul. Mickiewicza 10,50.972181,18.207575,powiat kluczborski
644,OpNamys2pyl,PL0219A,Namysłów manualna 2,OpNamys2pyl,2005-01-01,2010-08-05,background,urban,NO DATA,OPOLSKIE,Namysłów,ul. Mariańska 2,51.072222,17.718889,powiat namysłowski
645,OpNysa237,,Nysa manualna 237,OpNysa237,2001-01-01,2009-12-31,background,urban,in-house,OPOLSKIE,Nysa,ul. Tkacka 2,50.473611,17.333556,powiat nyski
646,OpNysaRodzie,PL0593A,"Nysa, ul. Rodziewiczówny",,2013-10-28,,background,urban,dust collector,OPOLSKIE,Nysa,ul. Rodziewiczówny 1,50.458989,17.331906,powiat nyski
647,OpOlesno3pyl,PL0220A,Olesno manualna 3,OpOlesno3pyl,2005-01-01,2011-04-01,background,urban,NO DATA,OPOLSKIE,Olesno,ul. Solny Rynek 1,50.876389,18.418611,powiat oleski
648,OpOlesSlowac,PL0553A,"Olesno, ul. Słowackiego",,2011-11-01,,background,urban,container,OPOLSKIE,Olesno,ul. Słowackiego,50.876983,18.416878,powiat oleski
649,OpOpole244,,Opole manualna 244,OpOpole244,2002-01-12,2003-12-31,background,urban,in-house,OPOLSKIE,Opole,ul. Sosnkowskiego 40-42,50.682221999999996,17.946111,
650,OpOpole246,PL0146A,Opole manualna 246,OpOpole246,2004-01-01,2009-12-31,background,urban,NO DATA,OPOLSKIE,Opole,ul. Oleska 64,50.675278000000006,17.937222,
651,OpOpole45,,Opole manualna 45,OpOpole45,2003-02-10,2006-12-31,background,urban,in-house,OPOLSKIE,Opole,ul. Mickiewicza 1,50.666111,17.937778,
652,OpOpole45p,,Opole manualna 45p,OpOpole45p,2002-01-01,2004-12-31,background,urban,in-house,OPOLSKIE,Opole,ul. Mickiewicza 1,50.666111,17.937778,
653,OpOpoleKoszy,PL0674A,"Opole, ul. Koszyka",,2017-01-01,,background,urban,container,OPOLSKIE,Opole,ul. Koszyka 21,50.666736,17.899137,
654,OpOpoleMinor,PL0221A,Opole automat 3,OpOpole3a,2005-01-01,2016-12-31,background,urban,container,OPOLSKIE,Opole,ul. Minorytów,50.666961,17.922797,
655,OpOpoleOsAKr,PL0494A,"Opole, os. Armii Krajowej",,2010-01-01,,background,urban,dust collector,OPOLSKIE,Opole,os. Armii Krajowej,50.676856,17.950278,
656,OpPrud189,PL0407A,Prudnik manualna 189,OpPrud189,1991-03-15,2009-12-31,background,urban,in-house,OPOLSKIE,Prudnik,ul. Klasztorna 4,50.321111,17.5775,powiat prudnicki
