L,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county
553,MzOtwoBrzozo,PL0539A,"Otwock, ul. Brzozowa",,5/11/2010,,background,suburban,container,MAZOWIECKIE,Otwock,ul. Brzozowa 2,52.115725,21.237297,powiat otwocki
554,MzOtwockBrzozWSSE,PL0132A,Otwock-BrzozowaWSSE,MzOtwockBrzozWSSE,1/2/1980,12/31/2009,background,urban,in-house,MAZOWIECKIE,Otwock,ul. Brzozowa 2,52.115444,21.237658,powiat otwocki
555,MzPiaseczDworWSSE,PL0133A,Piaseczno-Dworska,MzPiaseczDworWSSE,10/1/1981,12/31/2009,background,urban,in-house,MAZOWIECKIE,Piaseczno,ul. Dworska,52.051445,21.005582,powiat piaseczyński
556,MzPiasPulask,PL0134A,"Piastów, ul. Pułaskiego",,8/1/2003,,background,suburban,container,MAZOWIECKIE,Piastów,ul. Pułaskiego 6/8,52.191728,20.837489,powiat pruszkowski
557,MzPiastWarszWSSE,,Piastów-Warszawska,MzPiastWarszWSSE,1/4/1994,12/31/2003,industrial,urban,in-house,MAZOWIECKIE,Piastów,ul. Warszawska 24,52.186581,20.843524,powiat pruszkowski
558,MzPionkiSienWSSE,,Pionki-Sienkiewicza,MzPionkiSienWSSE,1/9/1995,12/31/2003,background,urban,in-house,MAZOWIECKIE,Pionki,ul. Sienkiewicza 11,51.478028,21.451383,powiat radomski
559,MzPlockJasnaWSSE,,Płock-Jasna,MzPlockJasnaWSSE,4/14/1986,12/31/2006,background,urban,in-house,MAZOWIECKIE,Płock,ul. Jasna 8,52.554005,19.667701,Płock
560,MzPlockKolegWSSE,PL0135A,Płock-Kolegialna,MzPlockKolegWSSE,2/27/2004,12/31/2009,background,urban,in-house,MAZOWIECKIE,Płock,ul. Kolegialna 20,52.542222,19.695556,Płock
561,MzPlockKolodWSSE,,Płock-Piasta Kołodzieja,MzPlockKolodWSSE,1/2/1990,12/31/2003,background,urban,in-house,MAZOWIECKIE,Płock,ul. Piasta Kołodzieja 4,52.550865,19.69058,Płock
562,MzPlockLaczWSSE,,Płock-Łączniczek,MzPlockLaczWSSE,1/10/1991,12/31/2003,background,urban,in-house,MAZOWIECKIE,Płock,ul. Łączniczek 14,52.539936,19.751334,Płock
563,MzPlockOpsis,,Płock-Opsis,MzPlockOpsis,2/27/1995,12/31/2006,communication,urban,in-house,MAZOWIECKIE,Płock,ul. Jachowicza 44,52.549779,19.691923,Płock
564,MzPlockPiaskaWSSE,,Płock-Piaska,MzPlockPiaskaWSSE,1/5/1987,12/31/2006,background,urban,in-house,MAZOWIECKIE,Płock,ul. Piaska 5,52.544338,19.724452,Płock
565,MzPlockPKN1,PL0396A,Płock-Trzepowo,MzPlockPKN1,12/1/1996,12/31/2009,industrial,urban,container,MAZOWIECKIE,Trzepowo,ul. Trzepowo 56,52.5888,19.724289,powiat płocki
566,MzPlockPKN2,PL0397A,Płock-Maszewo,MzPlockPKN2,10/1/1994,12/31/2009,background,nonurban,container,MAZOWIECKIE,Maszewo Duże,ul. Maszewo Duże 154,52.584167,19.6114,powiat płocki
567,MzPlockPKN3,,Płock-Chełpowo,MzPlockPKN3,1/1/1993,12/31/2005,industrial,urban,container,MAZOWIECKIE,Chełpowo,ul. Długa,52.5675,19.6875,powiat p?ocki
568,MzPlocKroJad,PL0398A,"Płock, ul. Królowej Jadwigi",,1/1/1993,,industrial,urban,container,MAZOWIECKIE,Płock,ul. Królowej Jadwigi 4,52.556279,19.687672,Płock
569,MzPlocMiReja,PL0136A,"Płock, ul. Reja",,8/1/2003,,background,urban,container,MAZOWIECKIE,Płock,ul. Mikołaja Reja 28,52.550938,19.709791,Płock
570,MzPlonskSienWSSE,,Płońsk-Sienkiewicza,MzPlonskSienWSSE,1/1/1987,12/31/2003,background,urban,in-house,MAZOWIECKIE,Płońsk,ul. Sienkiewicza 7a,52.629778,20.37556,powiat płoński
571,MzPruszKraszeWSSE,PL0399A,Pruszków-Kraszewskiego,MzPruszKraszeWSSE,1/1/2004,12/31/2009,background,urban,in-house,MAZOWIECKIE,Pruszków,ul. Kraszewskiego 14,52.162262,20.812831,powiat pruszkowski
572,MzPruszMajWSSE,,Pruszków-Majowa,MzPruszMajWSSE,10/1/1980,12/31/2003,background,urban,in-house,MAZOWIECKIE,Pruszków,ul. Majowa 14,52.17154,20.810253,powiat pruszkowski
573,MzPultusKoscWSSE,,Pułtusk-Kościuszki,MzPultusKoscWSSE,1/1/1987,12/31/2003,background,urban,in-house,MAZOWIECKIE,Pułtusk,ul. Kościuszki 16,52.709643,21.083912,powiat pułtuski
574,MzPultusMajaWSSE,,Pułtusk-Maja,MzPultusMajaWSSE,1/1/2004,12/31/2006,background,urban,in-house,MAZOWIECKIE,Pułtusk,ul. 3 Maja 20,52.707685,21.084498,powiat pułtuski
575,MzRad25Czerw,PL0137A,"Radom, ul. 25 Czerwca",,7/1/2010,,background,urban,dust collector,MAZOWIECKIE,Radom,ul. 25 Czerwca 1976 70,51.40608,21.166819,Radom
576,MzRadHallera,PL0493A,"Radom, ul. Hallera",,6/23/2010,,background,urban,dust collector,MAZOWIECKIE,Radom,ul. Hallera,51.415324,21.171285,Radom
577,MzRadomAlekWSSE,,Radom-Józefów,MzRadomAlekWSSE,11/6/1987,12/31/2006,background,urban,in-house,MAZOWIECKIE,Radom,ul. Aleksandrowicza 5,51.437739,21.161865,Radom
578,MzRadomCzWSSE,,Radom-CzerwcaWSSE,MzRadomCzWSSE,1/1/2004,12/31/2009,background,urban,container,MAZOWIECKIE,Radom,ul. 25 Czerwca,51.400128,21.162633,Radom
579,MzRadomLubonWSSE,,Radom-Lubońskiego,MzRadomLubonWSSE,1/22/1992,12/31/2003,background,urban,in-house,MAZOWIECKIE,Radom,ul. Lubońskiego 2,51.390409,21.170235,Radom
580,MzRadomPulask,,Radom-Pułaskiego,MzRadomPulask,4/22/1996,12/31/2006,background,urban,in-house,MAZOWIECKIE,Radom,ul. Pułaskiego 9,51.42521,21.158278,Radom
581,MzRadTochter,PL0138A,"Radom, ul. Tochtermana",,8/1/2003,,background,urban,container,MAZOWIECKIE,Radom,ul. Tochtermana 1,51.399084,21.147474,Radom
582,MzSiedChrobWSSE,,Siedlce-Chrobrego,MzSiedChrobWSSE,1/1/1994,12/31/2003,background,urban,in-house,MAZOWIECKIE,Siedlce,ul. Chrobrego 19,52.18308,22.27501,Siedlce
583,MzSiedKonars,PL0538A,"Siedlce, ul. Konarskiego",,1/1/2012,,background,urban,container,MAZOWIECKIE,Siedlce,ul. Konarskiego 11,52.172145,22.282001,Siedlce
584,MzSiedPodlasWSSE,,Siedlce-Podlaska,MzSiedPodlasWSSE,1/1/1990,12/31/2004,background,urban,in-house,MAZOWIECKIE,Siedlce,ul. Podlaska 8,52.160795,22.255203,Siedlce
585,MzSiedPoniatWSSE,,Siedlce-Poniatowskiego,MzSiedPoniatWSSE,1/1/2008,12/31/2009,background,urban,in-house,MAZOWIECKIE,Siedlce,ul. Poniatowskiego 31,52.176298,22.288741,Siedlce
586,MzSiedSienkWSSE,,Siedlce-Sienkiewicza,MzSiedSienkWSSE,1/3/1994,12/31/2004,background,urban,in-house,MAZOWIECKIE,Siedlce,ul. Sienkiewicza 32,52.165962,22.278046,Siedlce
587,MzSiedStarowWSSE,,Siedlce-Starowiejska,MzSiedStarowWSSE,1/1/1998,12/31/2003,background,urban,in-house,MAZOWIECKIE,Siedlce,ul. Starowiejska 66,52.166475,22.292956,Siedlce
588,MzSiedWoszczWSSE,,Siedlce-Woszczerowicza,MzSiedWoszczWSSE,1/1/2005,12/31/2007,background,urban,in-house,MAZOWIECKIE,Siedlce,ul. Woszczerowicza 9,52.164444,22.279722,Siedlce
589,MzSierpcPiastWSSE,,Sierpc-Piastowska,MzSierpcPiastWSSE,2/3/1987,12/31/2006,background,urban,in-house,MAZOWIECKIE,Sierpc,ul. Piastowska 24,52.853175,19.666716,powiat sierpecki
590,MzSierWiosnyMOB,PL0785A,"Sierpc, ul. Wiosny Ludów",,1/9/2021,,background,urban,mobile,MAZOWIECKIE,Sierpc,ul. Wiosny Ludów 7,52.851783,19.662061,powiat sierpecki
591,MzSochPlocWSSE,PL0400A,Sochaczew-Płocka,MzSochPlocWSSE,1/1/2004,12/31/2009,background,urban,in-house,MAZOWIECKIE,Sochaczew,ul. Płocka,52.231793,20.219171,powiat sochaczewski
592,MzSochSierpWSSE,,Sochaczew-Sierpnia,MzSochSierpWSSE,1/1/2004,12/31/2005,background,urban,in-house,MAZOWIECKIE,Sochaczew,ul. 15 Sierpnia 4,52.221772,20.234649,powiat sochaczewski
593,MzSokPodSierpWSSE,,Sokołów Podlaski-Sierpnia,MzSokPodSierpWSSE,1/1/1994,12/31/2003,background,urban,in-house,MAZOWIECKIE,Sokołów Podlaski,ul. 1 Sierpnia 1d,52.405721,22.234814,powiat sokołowski
594,MzTluszczJKiel,PL0139A,Tłuszcz-Kielaka,MzTluszczJKiel,8/1/2003,12/31/2010,background,suburban,container,MAZOWIECKIE,Tłuszcz,ul. Jana Kielaka 1,52.425833,21.429167,powiat wołomiński
595,MzWarAKrzywo,PL0214A,"Warszawa, ul. Krzywoń",,1/1/2011,,background,urban,dust collector,MAZOWIECKIE,Warszawa,ul. Anieli Krzywoń,52.228649,20.917513,
596,MzWarAKrzywWSSE,,Warszawa-Anieli KrzywońWSSE,MzWarAKrzywWSSE,1/1/2004,12/31/2009,background,urban,container,MAZOWIECKIE,Warszawa,ul. Anieli Krzywoń,52.228649,20.917513,
597,MzWarAlNiepo,PL0140A,"Warszawa, al. Niepodległości",,8/1/2003,,communication,urban,container,MAZOWIECKIE,Warszawa,al. Niepodległości 227/233,52.219298,21.004724,
598,MzWarBajkowa,PL0717A,"Warszawa, ul. Bajkowa",,1/1/2019,,background,urban,container,MAZOWIECKIE,Warszawa,ul. Bajkowa 17/21,52.188474,21.176233,
599,MzWarChrosci,PL0739A,"Warszawa, ul. Chrościckiego",,1/1/2019,,background,urban,container,MAZOWIECKIE,Warszawa,ul. Chrościckiego 16/18,52.207742,20.906073,
600,MzWarKondrat,PL0143A,"Warszawa, ul. Kondratowicza",,8/1/2003,,background,urban,container,MAZOWIECKIE,Warszawa,ul. Kondratowicza 8,52.290864,21.042458,
601,MzWarMarszal,PL0592A,Warszawa-Marszałkowska,MzWarszMarsz,1/1/2013,12/31/2017,communication,urban,container,MAZOWIECKIE,Warszawa,ul. Marszałkowska 68,52.225157,21.014803,
602,MzWarMeteo,PL0787A,"Warszawa, IMiGW",,1/1/2021,,background,urban,container,MAZOWIECKIE,Warszawa,ul. Podleśna 61,52.281472,20.963361,
603,MzWarPodlesn,PL0044A,Warszawa-Podleśna,MzWarPodIMGW,9/30/2003,12/31/2020,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Podleśna 61,52.280939,20.962156,
604,MzWarPorajow,PL0034A,Warszawa-Porajów,MzWarszPorajow,1/1/1991,1/4/2016,industrial,urban,container,MAZOWIECKIE,Warszawa,ul. Porajów 3,52.314516,20.958614,
605,MzWarPuszSol,PL0033A,Warszawa-Puszczy Solskiej,MzWarszPuszSolska,8/22/1998,1/4/2016,industrial,urban,container,MAZOWIECKIE,Warszawa,ul. Puszczy Solskiej 5,52.226408,20.908633,
606,MzWarszAlJerozol,,Warszawa-Aleje Jerozolimskie,MzWarszAlJerozol,1/1/1993,12/31/2004,background,urban,in-house,MAZOWIECKIE,Warszawa,al. Jerozolimskie 30,52.231631,21.0189,
607,MzWarszArmLudWSSE,,Warszawa-Armii Ludowej,MzWarszArmLudWSSE,10/1/1989,12/31/2003,communication,urban,in-house,MAZOWIECKIE,Warszawa,ul. Armii Ludowej 16,52.217723,21.011722,
608,MzWarszBednarWSSE,,Warszawa-Bednarska,MzWarszBednarWSSE,9/1/1976,12/31/2006,communication,urban,in-house,MAZOWIECKIE,Warszawa,ul. Bednarska 2/4,52.245977,21.020429,
609,MzWarszBernWoda,PL0215A,Warszawa-Bernardyńska,MzWarszBernWoda,4/26/1996,12/31/2013,industrial,urban,container,MAZOWIECKIE,Warszawa,ul. Przy Bernardyńskiej Wodzie 7,52.191733,21.051053,
610,MzWarszBialobWSSE,,Warszawa-Białobrzeska,MzWarszBialobWSSE,1/1/1994,12/31/2006,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Białobrzeska 26,52.213226,20.973755,
611,MzWarszBorKomWSSE,PL0309A,Warszawa-Bora Komorowskiego,MzWarszBorKomWSSE,3/14/1995,12/31/2008,background,urban,container,MAZOWIECKIE,Warszawa,ul. Bora Komorowskiego 31,52.225194,21.087355,
612,MzWarszHertzaWSSE,,Warszawa-Hertza,MzWarszHertzaWSSE,1/2/1980,12/31/2003,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Hertza 8,52.224538,21.152749,
613,MzWarszKochanWSSE,,Warszawa-Kochanowskiego,MzWarszKochanWSSE,1/2/1980,12/31/2003,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Kochanowskiego 21,52.267161,20.94953,
614,MzWarszKrucza,PL0010A,Warszawa-Krucza,MzWarszKrucza,1/1/1990,12/31/2013,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Krucza 5/11,52.224583,21.019039,
615,MzWarszLazurowa,,Warszawa - Lazurowa,MzWarszLazurowa,11/1/1991,12/31/2008,industrial,urban,container,MAZOWIECKIE,Warszawa,ul. Lazurowa,52.220278,20.8975,
616,MzWarszOskLanWSSE,,Warszawa-Oskara Lange,MzWarszOskLanWSSE,1/1/1996,12/31/2003,background,urban,container,MAZOWIECKIE,Warszawa,ul. Oskara Lange,52.18154,21.008873,
617,MzWarszSGGW,PL0274A,Warszawa-Nowoursynowska,MzWarszSGGW,2/1/2001,12/31/2012,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Nowoursynowska 166,52.160556,21.047778,
618,MzWarszSuwalWSSE,,Warszawa-Suwalska,MzWarszSuwalWSSE,4/3/1995,12/31/2003,background,urban,container,MAZOWIECKIE,Warszawa,ul. Suwalska 14,52.295469,21.029065,
619,MzWarszZelazWSSE,PL0142A,Warszawa-Żelazna,MzWarszZelazWSSE,9/1/1976,12/31/2009,background,urban,in-house,MAZOWIECKIE,Warszawa,ul. Żelazna 79,52.237499,20.98793,
620,MzWarTolstoj,PL0308A,"Warszawa, ul. Tołstoja",,5/15/2000,,background,urban,container,MAZOWIECKIE,Warszawa,ul. Tołstoja 2,52.285073,20.933018,
621,MzWarWokalna,PL0141A,"Warszawa, ul. Wokalna",,8/1/2003,,background,urban,container,MAZOWIECKIE,Warszawa,ul. Wokalna 1,52.160772,21.033819,
622,MzWarZeganWSSE,PL0216A,Warszawa-Żegańska,MzWarZeganWSSE,1/1/2004,12/31/2009,background,urban,container,MAZOWIECKIE,Warszawa,ul. Żegańska,52.205769,21.169522,
623,MzWolOgrodowa,PL0404A,Wołomin-Ogrodowa,MzWolOgrodowa,9/20/2010,4/23/2013,background,urban,in-house,MAZOWIECKIE,Wołomin,ul. Ogrodowa 4,52.344675,21.239511,powiat wołomiński
624,MzWolomLegionWSSE,,Wołomin-Legionów,MzWolomLegionWSSE,1/3/2000,12/31/2006,background,urban,in-house,MAZOWIECKIE,Wołomin,ul. Legionów 78,52.338759,21.241824,powiat wołomiński
625,MzWyszDaszynWSSE,,Wyszków-Daszyńskiego,MzWyszDaszynWSSE,1/1/1982,12/31/2006,background,urban,in-house,MAZOWIECKIE,Wyszków,ul. Daszyńskiego 28,52.593993,21.458079,powiat wyszkowski
626,MzZwolenWSSE,,Zwoleń-Kościuszki,MzZwolenWSSE,1/1/2004,12/31/2006,background,urban,in-house,MAZOWIECKIE,Zwoleń,ul. Kościuszki 11,51.35581,21.578566,powiat zwoleński
627,MzZyrardMoniuszWSSE,,Żyrardów-Moniuszki,MzZyrardMoniuszWSSE,5/30/1988,12/31/2006,background,urban,in-house,MAZOWIECKIE,Żyrardów,ul. Moniuszki 40,52.057147,20.450546,powiat żyrardowski
628,MzZyraRoosev,PL0144A,"Żyrardów, ul. Roosevelta",,8/1/2003,,background,urban,container,MAZOWIECKIE,Żyrardów,ul. Roosevelta 2,52.053811,20.429892,powiat żyrardowski
629,OpBrzeg101,PL0405A,Brzeg manualna 101,OpBrzeg101,12/13/1978,12/31/2009,background,urban,in-house,OPOLSKIE,Brzeg,ul. Armii Krajowej 22,50.8575,17.463611,powiat brzeski
630,OpBrzegPoprz,PL0788A,"Brzeg, ul. Poprzeczna",,1/11/2021,,background,urban,mobile,OPOLSKIE,Brzeg,Poprzeczna 1,50.849509,17.462579,powiat brzeski
631,OpGlubKochan,PL0217A,Głubczyce manualna 1,OpGlub1pyl,1/1/2005,1/1/2016,background,urban,dust collector,OPOLSKIE,Głubczyce,ul. Kochanowskiego 23,50.200942,17.816453,powiat głubczycki
632,OpGlubRatusz,PL0650A,"Głubczyce, ul. Ratuszowa",,1/1/2016,,background,urban,dust collector,OPOLSKIE,Głubczyce,ul. Ratuszowa 9,50.200778,17.83051,powiat głubczycki
633,OpGora12728,,Góra Św. Anny lokalna 12728,OpGora12728,12/31/1991,6/30/2006,NO DATA,nonurban,container,OPOLSKIE,Góra Św. Anny,ul. Leśnicka,50.451667,18.163333,powiat strzelecki
634,OpJanusz12394,,Januszkowice lokalna 12394,OpJanusz12394,11/27/1990,6/30/2006,NO DATA,nonurban,container,OPOLSKIE,Januszkowice,ul. Piękna,50.395833,18.138333,powiat krapkowicki
635,OpKKozBSmial,PL0218A,"Kędzierzyn-Koźle, ul. Śmiałego",,1/1/2005,,background,urban,container,OPOLSKIE,Kędzierzyn-Koźle,ul. Bolesława Śmiałego 5,50.349608,18.236575,powiat kędzierzyńsko-kozielski
636,OpKkozle243,,K-Koźle manualna 243,OpKkozle243,10/10/2001,12/31/2004,background,urban,in-house,OPOLSKIE,Kędzierzyn-Koźle,ul. Chrobrego 28,50.338333,18.134167,powiat kędzierzyńsko-kozielski
637,OpKkozle61,,K-Koźle manualna 61,OpKkozle61,1/10/1980,12/31/2005,background,urban,in-house,OPOLSKIE,Kędzierzyn-Koźle,ul. Anny 14,50.334444,18.147222,powiat kędzierzyńsko-kozielski
638,OpKkozleSP10,,K-Koźle BASKI-SP10,OpKkozleSP10,1/1/2004,12/31/2004,industrial,urban,container,OPOLSKIE,Kędzierzyn-Koźle,ul. Książąt Opolskich,50.369444,18.327778,powiat kędzierzyńsko-kozielski
639,OpKkozleSP3,,K-Koźle BASKI-SP3,OpKkozleSP3,1/1/2004,12/31/2004,industrial,urban,container,OPOLSKIE,Kędzierzyn-Koźle,ul. Przodowników Pracy,50.323611,18.251389,powiat kędzierzyńsko-kozielski
640,OpKkozleSP7,,K-Koźle BASKI-SP7,OpKkozleSP7,1/1/2004,12/31/2004,background,urban,container,OPOLSKIE,Kędzierzyn-Koźle,ul. Gagarina,50.344444,18.227778,powiat kędzierzyńsko-kozielski
641,OpKlucz227,PL0145A,Kluczbork manualna 227,OpKlucz227,1/1/2004,12/31/2009,background,urban,in-house,OPOLSKIE,Kluczbork,ul. Rynek_ratusz,50.973056,18.214167,powiat kluczborski
642,OpKlucz235,PL0406A,Kluczbork manualna 235,OpKlucz235,7/15/2002,12/31/2009,background,urban,in-house,OPOLSKIE,Kluczbork,ul. Jagiellońska 3,50.974444,18.217508,powiat kluczborski
643,OpKluczMicki,PL0517A,"Kluczbork, ul. Mickiewicza",,8/6/2010,,background,urban,dust collector,OPOLSKIE,Kluczbork,ul. Mickiewicza 10,50.972181,18.207575,powiat kluczborski
644,OpNamys2pyl,PL0219A,Namysłów manualna 2,OpNamys2pyl,1/1/2005,8/5/2010,background,urban,NO DATA,OPOLSKIE,Namysłów,ul. Mariańska 2,51.072222,17.718889,powiat namysłowski
645,OpNysa237,,Nysa manualna 237,OpNysa237,1/1/2001,12/31/2009,background,urban,in-house,OPOLSKIE,Nysa,ul. Tkacka 2,50.473611,17.333556,powiat nyski
646,OpNysaRodzie,PL0593A,"Nysa, ul. Rodziewiczówny",,10/28/2013,,background,urban,dust collector,OPOLSKIE,Nysa,ul. Rodziewiczówny 1,50.458989,17.331906,powiat nyski
647,OpOlesno3pyl,PL0220A,Olesno manualna 3,OpOlesno3pyl,1/1/2005,4/1/2011,background,urban,NO DATA,OPOLSKIE,Olesno,ul. Solny Rynek 1,50.876389,18.418611,powiat oleski
648,OpOlesSlowac,PL0553A,"Olesno, ul. Słowackiego",,11/1/2011,,background,urban,container,OPOLSKIE,Olesno,ul. Słowackiego,50.876983,18.416878,powiat oleski
649,OpOpole244,,Opole manualna 244,OpOpole244,1/12/2002,12/31/2003,background,urban,in-house,OPOLSKIE,Opole,ul. Sosnkowskiego 40-42,50.682222,17.946111,Opole
650,OpOpole246,PL0146A,Opole manualna 246,OpOpole246,1/1/2004,12/31/2009,background,urban,NO DATA,OPOLSKIE,Opole,ul. Oleska 64,50.675278,17.937222,Opole
651,OpOpole45,,Opole manualna 45,OpOpole45,2/10/2003,12/31/2006,background,urban,in-house,OPOLSKIE,Opole,ul. Mickiewicza 1,50.666111,17.937778,Opole
652,OpOpole45p,,Opole manualna 45p,OpOpole45p,1/1/2002,12/31/2004,background,urban,in-house,OPOLSKIE,Opole,ul. Mickiewicza 1,50.666111,17.937778,Opole
653,OpOpoleKoszy,PL0674A,"Opole, ul. Koszyka",,1/1/2017,,background,urban,container,OPOLSKIE,Opole,ul. Koszyka 21,50.666736,17.899137,Opole
654,OpOpoleMinor,PL0221A,Opole automat 3,OpOpole3a,1/1/2005,12/31/2016,background,urban,container,OPOLSKIE,Opole,ul. Minorytów,50.666961,17.922797,Opole
655,OpOpoleOsAKr,PL0494A,"Opole, os. Armii Krajowej",,1/1/2010,,background,urban,dust collector,OPOLSKIE,Opole,os. Armii Krajowej,50.676856,17.950278,Opole
656,OpPrud189,PL0407A,Prudnik manualna 189,OpPrud189,3/15/1991,12/31/2009,background,urban,in-house,OPOLSKIE,Prudnik,ul. Klasztorna 4,50.321111,17.5775,powiat prudnicki
657,OpPrud189p,,Prudnik manualna 189p,OpPrud189p,6/1/2001,12/31/2007,background,urban,in-house,OPOLSKIE,Prudnik,ul. Klasztorna 4,50.321111,17.577778,powiat prudnicki
658,OpPrudPodgor,PL0719A,Prudnik mobilna,OpPrudPodgor,1/1/2019,12/31/2020,background,urban,mobile,OPOLSKIE,Prudnik,ul. Podgórna 5,50.320858,17.591909,powiat prudnicki
659,OpSkozleSP5,,K-Koźle BASKI-SP5,OpSkozleSP5,1/1/2004,12/31/2004,industrial,nonurban,container,OPOLSKIE,Stare Koźle,ul. Szkolna,50.306944,18.219444,powiat kędzierzyńsko-kozielski
660,OpStrzel239,,Strzelce manualna 239,OpStrzel239,1/1/2000,12/31/2004,background,urban,in-house,OPOLSKIE,Strzelce Opolskie,ul. Krakowska 19,50.509444,18.303611,powiat strzelecki
661,OpStrzel247,PL0408A,Strzelce manualna 247,OpStrzel247,1/1/2005,12/31/2009,background,urban,in-house,OPOLSKIE,Strzelce Opolskie,ul. Piłsudskiego 20,50.513889,18.303892,powiat strzelecki
662,OpStrzOpWysz,PL0767A,"Strzelce Opolskie, ul. Kard. Wyszyńskiego",,1/22/2020,12/31/2021,background,urban,mobile,OPOLSKIE,Strzelce Opolskie,ul. Kardynała Wyszyńskiego 12,50.509334,18.288206,powiat strzelecki
663,OpZdze12392,PL0409A,Zdzieszowice lokalna 12392,OpZdze12392,11/27/1990,12/31/2008,background,urban,container,OPOLSKIE,Zdzieszowice,ul. Sienkiewicza,50.435278,18.132514,powiat krapkowicki
664,OpZdziePiast,PL0222A,"Zdzieszowice, ul. Piastów",,1/1/2005,,background,urban,container,OPOLSKIE,Zdzieszowice,ul. Piastów 6,50.423533,18.120739,powiat krapkowicki
665,PdAugSzpitalna,,Augustów ul.Szpitalna 12,PdAugSzpitalna,1/1/1994,12/31/2002,background,urban,in-house,PODLASKIE,Augustów,ul. Szpitalna 12,53.851342,22.993628,powiat augustowski
666,PdAugustowUm,PL0768A,Augustów-Miejska,PdAugustowUm,1/1/2020,,background,urban,container,PODLASKIE,Augustów,Uzdrowisko,53.852639,22.984611,powiat augustowski
667,PdAugustowUz,PL0768A,"Augustów, Uzdrowisko",,1/1/2020,,background,urban,container,PODLASKIE,Augustów,Uzdrowisko,53.852639,22.984611,powiat augustowski
668,PdAugustoZdrMOB,PL0675A,Augustów - mobilne,PdAugustoZdrMOB,1/1/2017,12/31/2019,background,urban,mobile,PODLASKIE,Augustów,ul. Zdrojowa,53.859528,23.00075,powiat augustowski
669,PdBialPulPie,PL0149A,Białystok-Podmiejska,PdBialyPodmiejska,9/1/2004,12/21/2017,background,suburban,container,PODLASKIE,Białystok,ul. 42 Pułku Piechoty,53.138614,23.229903,Białystok
670,PdBialWarsza,PL0496A,"Białystok, ul. Warszawska",,1/1/2010,,background,urban,container,PODLASKIE,Białystok,ul. Warszawska 75 A,53.129306,23.181744,Białystok
671,PdBialWaszyn,PL0148A,"Białystok, ul. Waszyngtona",,9/1/2004,,background,urban,container,PODLASKIE,Białystok,ul. Waszyngtona 16,53.126689,23.155869,Białystok
672,PdBialyBroniewsk,,Bialystok ul. Broniewskiego 1,PdBialyBroniewsk,1/1/1994,12/31/2002,background,urban,in-house,PODLASKIE,Białystok,ul. Broniewskiego 1,53.140469,23.134272,Białystok
673,PdBialyLegionowa,,Białystok ul Legionowa 8,PdBialyLegionowa,1/1/1998,12/31/2003,background,urban,in-house,PODLASKIE,Białystok,ul. Legionowa 8,53.130933,23.159853,Białystok
674,PdBialyLegionowa8,PL0147A,BIAŁYSTOK LEGIONOWA 8 POSESJA,PdBialyLegionowa8,11/1/2003,12/31/2009,background,urban,container,PODLASKIE,Białystok,ul. Legionowa 8,53.131111,23.158889,Białystok
675,PdBialyPorzeczkowa,,Białystok ul Porzeczkowa 11,PdBialyPorzeczkowa,1/1/1994,12/31/2002,background,urban,in-house,PODLASKIE,Białystok,ul. Porzeczkowa 11,53.151186,23.119169,Białystok
676,PdBialyWarszaw,,Białystok ul. Warszawska 57 A,PdBialyWarszaw,1/1/1983,12/31/2002,background,urban,in-house,PODLASKIE,Białystok,ul. Warszawska 57 A,53.131078,23.174142,Białystok
677,PdBiePodKosciuszki,,Bielsk Podlaski ul Kościuszki 16,PdBiePodKosciuszki,1/1/1994,12/31/2002,background,urban,in-house,PODLASKIE,Bielsk Podlaski,ul. Kościuszki 16,52.769472,23.187025,powiat bielski
678,PdBorsukowiz,PL0150A,"Borsukowizna, Szkółka Leśna",,9/1/2004,,background,nonurban,container,PODLASKIE,Borsukowizna,,53.215492,23.642153,powiat sokólski
679,PdGrajewKonsty3M,,Grajewo ul Konstytucji 3 Maja 3,PdGrajewKonsty3M,1/2/1995,12/31/2002,background,urban,in-house,PODLASKIE,Grajewo,ul. Konstytucji 3 Maja 3,53.643994,22.461244,powiat grajewski
680,PdGrajewoWPoMOB,PL0721A,"Grajewo, ul. Wojska Polskiego",,12/30/2019,,background,urban,mobile,PODLASKIE,Grajewo,ul. Wojska Polskiego 74,53.639793,22.470274,powiat grajewski
681,PdGrajNowickiego,,Grajewo - lab. mobilne,PdGrajNowickiego,1/1/2005,12/31/2005,background,urban,mobile,PODLASKIE,Grajewo,ul. T. Nowickiego,53.648508,22.4509,powiat grajewski
682,PdHajnowkJagMOB,PL0651A,Hajnówka-mobilne,PdHajnowkJagMOB,1/1/2015,12/31/2016,background,urban,mobile,PODLASKIE,Hajnówka,ul. Władysława Jagiełły,52.739528,23.586139,powiat hajnowski
683,PdLomSikorsk,PL0151A,"Łomża, ul. Sikorskiego",,1/1/2002,,background,urban,container,PODLASKIE,Łomża,ul. Sikorskiego 48/94,53.181394,22.054381,Łomża
